ID,YearBuilt,Age,ConcreteType,DesignType,Rated_Load_Capacity,SlabThickness,Bear_Surface_Area,No_Of_Beams,Length,Width,Height,MinimumTemperature,AverageTemperature,MaximumTemperature,MinimumRelativeHumidity,AverageRelativeHumidity,MaximumRelativeHumidity,AverageWindSpeed,MinimumNO2,AverageNO2,MaximumNO2,MinimumSO2,AverageSO2,MaximumSO2,MinimumCO,AverageCO,MaximumCO,MinimumCO2,AverageCO2,MaximumCO2,MinimumRain,AverageRain,MaximumRain,MinimumWaterLevel,AverageWaterLevel,MaximumWaterLevel,MinimumTrafficVolume,AverageTrafficVolume,MaximumTrafficVolume,SpeedLimit,No_of_Maintenance,No_Of_Vehicle_Passed,AverageTimeGapInMaintenance,Ultrasonic Testing (UT),Ground Penetrating Radar (GPR),Acoustic Emission (AE) Testing,Rebound Hammer Test (Schmidt Hammer Test),Crack_Surface_Area,Durability,RemainingLifeSpan,MaintenanceRequired
1,2002,23,High-Strength,Truss,63.03096908470303,0.5191026121114716,45.30619786370947,5,31.333349888330957,7.15425029978528,95.53355973298227,-26.688313328122636,26.09787200345017,45.98866047430503,37.79165353175077,68.97517315404494,96.3931028244835,15.127277163129019,17.649419575868382,30.05700938238181,76.87382820996304,8.713301431338074,22.076225589962803,58.324812936383935,0.589739318619616,4.06973014901101,6.086230797577793,307.5029397056494,402.5064429980216,578.2069964700574,3.0193419272325785,29.741177639724533,103.57651578122017,0.9162513718097276,1.4630937950536183,8.425496385832453,481,4249,8038,107,18,6769618,6.466949859945257,0.9487140407442307,0.1781710402489206,0.028456532553343683,0.1922289735941516,5.474724055648016,96.12714803452464,76.38096501824563,No
2,1951,74,Normal,Cable-Stayed,49.24511474660803,0.8104014221269671,17.843737321045165,2,888.810207467696,44.88169177610167,49.152023669342455,-11.650675830407792,5.7299544671107325,49.08627735937336,39.176413453625,54.17948052302972,96.54050296704149,19.952309771074606,17.520683980870537,47.52295998126144,68.55587780532876,7.985880141237427,22.5652080648018,43.84169224200451,0.8847199630679583,4.978258327922832,7.487157985944796,349.96231905812783,383.2329210299452,574.4769837524401,9.772466369906086,32.025684335648215,61.29692915458458,0.16984726128551442,2.487375540963857,8.58445076796416,740,4498,9904,42,14,7748108,9.703079162251438,0.6392255091128085,0.44457318774542187,0.7291701144136276,0.8888005925936432,1.1998632212036542,92.48549237857935,2.437227965388322,Yes
3,1992,33,Self-Consolidating,Arch,95.40071227318916,0.9108664935125905,126.14125907121375,15,912.5473268575082,25.0998526349465,72.45413258509065,-3.462267205233317,21.65472507563753,46.63175864762626,34.27638664963163,55.10780669530313,78.17779004834341,4.024929861286049,5.983731863167416,48.05597116490443,96.1168854515775,0.9975605441357505,24.60474523758608,31.76239772314024,0.8475775182588662,1.7226510155785593,8.883496660564436,320.46718371454114,406.3731485405434,482.04974246840595,3.9695240414889255,22.814687266200874,180.6700327250686,0.0511352219241753,3.3505104240157735,9.203586100157358,704,1007,8360,96,5,1710946,2.272899817664662,0.7258044917798042,0.23660287232188626,0.7956688533623673,0.5868130100277626,5.101421538994445,86.01758939970068,58.157932158566105,Yes
4,1914,111,Normal,Truss,42.132748868612026,0.4688340500773503,135.17787907196384,18,667.033360017512,38.74836560699281,81.30444336831711,-15.10982327490295,27.008002860111763,40.52669230548241,34.632366415132054,65.90062255291204,92.2897131837465,4.6133174378443425,2.580805265970003,35.04447367701547,97.9180860434212,6.8947382181234325,25.063882953297707,56.70153975951454,0.639828603977035,2.6212925190482728,9.937892191183526,318.48645326534375,402.3596478297813,518.5066348061749,8.55160594953825,27.460847554581296,152.59974830551988,0.6970682885609246,4.434330580532159,5.861407171619071,645,3320,7333,86,14,3901241,4.96122387450569,0.6358202071136896,0.7387009895340617,0.9496574266018083,0.609898063925617,3.471035198480771,92.85575325542011,43.46843258186537,Yes
5,2006,19,Normal,Cable-Stayed,78.36000431561496,0.33155000428605297,104.67547095778255,15,305.9247592430579,27.33487162973505,19.393905718341962,-14.293303268456746,9.35647354361011,43.75932707537314,13.630492319923302,66.76293227684535,73.99767605275555,15.646861504732648,9.286776355739537,43.15449397034113,55.207938640439714,8.146192371301824,25.53423900192981,51.716022649367424,0.8014148378737864,1.5442282971300592,8.634328816726121,309.6618148626525,433.21266662368214,594.0403404804049,3.007085293324301,30.859702974734947,103.88587796652789,0.3541148759804823,2.132332352403626,9.149194869636641,946,2340,7503,48,8,453416,5.822882062731396,0.8876932545423638,0.23456760768364882,0.787941179533961,0.7581545385096342,0.8504445859269472,60.50042151671636,45.371972570861544,No
6,1971,54,High-Strength,Beam,62.47834691176322,0.7896093272764493,155.48894432981322,7,495.0280976302097,44.58490147211006,9.271015777384402,3.4967836091942175,15.087150587644675,45.45774848697351,37.14280451157137,61.15360508824914,81.06739260474123,7.251632650492836,4.421868784396503,25.076350332629804,86.27694822743828,3.78224887270453,27.85027125275341,40.268071243604346,0.17591751988521975,3.925038410562429,6.7687100098308175,339.5504693608615,404.7534033633779,525.1746457650556,6.50937816881755,48.38376717428859,147.67331838151807,0.292331018910306,4.396632606209614,7.400407909963925,358,2743,6896,77,9,1757931,5.038448834739004,0.2505366552376034,0.9970732047735881,0.4662610883292344,0.4358406357866359,0.09847339615122186,74.79397270231053,40.60983301577114,No
7,1960,65,Self-Consolidating,Beam,14.911848275470865,0.8180462069385412,117.10608260896699,6,764.9932265602013,38.73494041137765,17.206714020643595,-8.534950375089029,25.228261223510412,26.499393523035923,38.46652552065426,40.68089877224321,81.07813747012304,14.979333729955295,9.182815832610736,41.02963206952424,90.06608310222231,0.6716676665806753,10.144113730960138,31.83285958664059,0.11130134396305014,3.4991350174926135,5.114339341815896,328.78721182964074,448.53988443155794,551.3825790683627,6.716820979518614,15.493770652693449,197.63399657381467,0.564505330906166,1.0566241141254018,9.90132712465163,515,4798,6231,77,14,5478208,4.191646629558312,0.3682853362323275,0.030341866391709993,0.04834799395916978,0.896942969238818,9.140411618968663,56.63358044375024,52.97687924612674,No
8,1920,105,High-Strength,Truss,17.59469932085036,0.9840267552484354,171.15724319907068,4,814.898392001519,8.845599170619948,37.390524482588226,-6.494067140448667,18.3767232748245,24.297546333196237,16.946612336305286,61.71478219588171,95.36878872365284,6.626259449214212,11.56161762547715,42.95527698004202,62.54131054957512,4.522751030547953,23.7135192719484,42.54557840339237,0.52324639476065,3.9188954618642926,6.39457441754306,322.90816797095385,396.0768110465994,482.51934470893656,5.782352901091978,36.068642050277056,88.02478314866647,0.5031495167454066,1.4557871021818531,8.21804824321052,534,1074,6564,38,16,4220788,7.851654027131512,0.9162343918661779,0.330724436065412,0.18036872430424655,0.18847059101301,8.358552997823447,58.73575616719889,18.03122306956837,No
9,2002,23,Normal,Truss,28.28408393709912,0.31163348115472345,64.7425330335369,16,349.9105456264199,38.846610753870834,95.87265181235523,-18.12733476294784,13.94259135438699,26.127713313601244,25.22924458200317,62.39733191244201,72.1989829031848,14.906582047456842,16.46091584882535,28.046059711050844,73.79911160838454,3.6719731239265707,22.003850116376007,52.399133471034226,0.6515438822188686,1.541093146092888,9.125952921546586,337.4956609104776,446.51347980215417,519.5871852663181,3.819926355960195,36.281312098254624,132.82815256395986,0.3334980477332464,2.9405364381207413,9.512761369334704,697,2127,6073,46,7,9559006,2.282720879130596,0.49786229659512204,0.8707491804575187,0.8149436257790188,0.7393433484727003,1.3847804323419943,74.92999253382365,18.522417137475145,Yes
10,2021,4,High-Strength,Truss,22.88373605641234,0.7675367061354808,56.190582871591936,8,332.80645809886465,17.006636693371316,9.06366660196058,-10.680808384096455,20.648051859525545,46.64546710243674,21.866147371206583,50.65659552856539,85.47673673013391,14.393427418171957,15.85495336601783,37.01855727172355,88.83489844885642,8.393442252685169,10.751276684643347,57.882984550652814,0.3047857494565346,3.212613899177797,9.426573278087524,304.50038260605095,397.2520661483523,490.2504026555897,7.8728644292694785,33.32658775384354,121.23804444635591,0.03354579161810367,3.647543113754542,7.538682520516749,492,1262,7230,45,13,8474437,6.009539248136377,0.7210767725257081,0.6101375071850205,0.1160343258044163,0.5207991164021182,3.7126046415941882,63.57448216567643,95.56656089857832,No
